"AverageShortestPathLength","BetweennessCentrality","ClosenessCentrality","ClusteringCoefficient","Degree","Eccentricity","IsSingleNode","label","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","PartnerOfMultiEdgedNodePairs","Radiality","selected","SelfLoops","shared name","Stress","TopologicalCoefficient","value"
"2.3596491228070176","0.03248994918389483","0.42379182156133827","0.3484848484848485","12","3","false","BrighamYoung","BrighamYoung","10.75","0","12","0","0.8866959064327485","false","0","BrighamYoung","1892","0.17937853107344634","7"
"2.4210526315789473","0.017621112680095287","0.41304347826086957","0.4393939393939394","12","4","false","FloridaState","FloridaState","10.666666666666666","0","12","0","0.8815789473684211","false","0","FloridaState","990","0.19654088050314467","0"
"2.456140350877193","0.013122497053431072","0.40714285714285714","0.3787878787878788","12","4","false","Iowa","Iowa","11.166666666666666","0","12","0","0.8786549707602339","false","0","Iowa","872","0.21895424836601307","2"
"2.3771929824561404","0.023070098856845606","0.4206642066420664","0.3333333333333333","12","3","false","KansasState","KansasState","10.75","0","12","0","0.8852339181286549","false","0","KansasState","1368","0.18567251461988304","3"
"2.482456140350877","0.010663869449409079","0.40282685512367494","0.41818181818181815","11","4","false","NewMexico","NewMexico","10.818181818181818","0","11","0","0.8764619883040936","false","0","NewMexico","746","0.2062937062937063","7"
"2.6052631578947367","0.010660982082613544","0.38383838383838387","0.36363636363636365","12","4","false","TexasTech","TexasTech","10.333333333333334","0","12","0","0.8662280701754387","false","0","TexasTech","708","0.23295454545454544","3"
"2.3508771929824563","0.019681284368958815","0.42537313432835816","0.3181818181818182","12","3","false","PennState","PennState","10.916666666666666","0","12","0","0.8874269005847953","false","0","PennState","1208","0.1824712643678161","2"
"2.491228070175439","0.014563035979091633","0.4014084507042253","0.3939393939393939","12","4","false","SouthernCalifornia","SouthernCalifornia","11.0","0","12","0","0.8757309941520468","false","0","SouthernCalifornia","1004","0.20833333333333334","8"
"2.7719298245614037","0.005008648931669308","0.36075949367088606","0.4727272727272727","11","4","false","ArizonaState","ArizonaState","10.818181818181818","0","11","0","0.8523391812865496","false","0","ArizonaState","400","0.29797979797979796","8"
"2.517543859649123","0.011831150859850476","0.397212543554007","0.4727272727272727","11","4","false","SanDiegoState","SanDiegoState","10.909090909090908","0","11","0","0.8735380116959064","false","0","SanDiegoState","820","0.23517786561264822","7"
"2.6228070175438596","0.006907991485590174","0.38127090301003347","0.4444444444444444","10","4","false","Baylor","Baylor","10.8","0","10","0","0.8647660818713451","false","0","Baylor","494","0.26097560975609757","3"
"2.482456140350877","0.01140034852039154","0.40282685512367494","0.3111111111111111","10","4","false","NorthTexas","NorthTexas","10.2","0","10","0","0.8764619883040936","false","0","NorthTexas","704","0.1980392156862745","10"
"2.56140350877193","0.010144133783987276","0.3904109589041096","0.3333333333333333","10","4","false","NorthernIllinois","NorthernIllinois","10.3","0","10","0","0.8698830409356725","false","0","NorthernIllinois","664","0.22444444444444445","6"
"2.3771929824561404","0.017291363429954684","0.4206642066420664","0.38181818181818183","11","3","false","Northwestern","Northwestern","11.090909090909092","0","11","0","0.8852339181286549","false","0","Northwestern","1022","0.189792663476874","2"
"2.5964912280701755","0.007074447857815539","0.38513513513513514","0.37777777777777777","10","4","false","WesternMichigan","WesternMichigan","10.5","0","10","0","0.8669590643274855","false","0","WesternMichigan","538","0.2625","6"
"2.3596491228070176","0.020895265847707074","0.42379182156133827","0.3484848484848485","12","3","false","Wisconsin","Wisconsin","11.0","0","12","0","0.8866959064327485","false","0","Wisconsin","1194","0.18361581920903955","2"
"2.3596491228070176","0.022213447427560155","0.42379182156133827","0.41818181818181815","11","3","false","Wyoming","Wyoming","11.090909090909092","0","11","0","0.8866959064327485","false","0","Wyoming","1210","0.18335901386748846","7"
"2.4298245614035086","0.01660199660390932","0.41155234657039713","0.34545454545454546","11","3","false","Auburn","Auburn","10.545454545454545","0","11","0","0.8808479532163743","false","0","Auburn","1128","0.2014260249554367","9"
